fecha;emisor;valor;valor_nominal_usd;precio_usd;numero_acciones;valor_efectivo_usd;procedencia
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;G
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;45;96.75;G
11/01/2023;CONCLINA C A  CIA CONJU CLINICO NACIONAL;ACCIONES;1.00;1.00;1774;1774.00;Q
11/01/2023;CONCLINA C A  CIA CONJU CLINICO NACIONAL;ACCIONES;1.00;1.00;25198;25198.00;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;158;339.70;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;8458;18100.12;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;1163;2500.45;Q
11/01/2023;CONCLINA C A  CIA CONJU CLINICO NACIONAL;ACCIONES PREFERIDAS;1.00;1.00;1059;1059.00;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;105;225.75;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;2460;5264.40;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;1;98.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;2;196.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;10;980.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;20;1960.00;Q
11/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;98.00;20;1960.00;Q
11/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;1396;3001.40;Q
11/01/2023;HOLCIM ECUADOR S.A.;ACCIONES;3.00;50.00;650;32500.00;Q
11/01/2023;BANCO PICHINCHA C.A.;ACCIONES;100.00;87.00;31;2697.00;Q
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;905;1945.75;G
12/01/2023;BANCO BOLIVARIANO C.A.;ACCIONES;1.00;1.00;12000;12000.00;G
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.15;100;215.00;G
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;3000;6420.00;Q
12/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;450;427.50;Q
12/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;134;127.30;Q
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;855;1821.15;Q
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;1628;3467.64;Q
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;835;1786.90;Q
12/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;1540;3280.20;Q
12/01/2023;BANCO GUAYAQUIL S.A.;ACCIONES;1.00;1.10;5346;5880.60;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;1;100.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
12/01/2023;MUTUALISTA PICHINCHA;CERTIFICADOS DE APORTACION;100.00;100.00;2;200.00;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;2353;5035.42;G
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;1547;3310.58;G
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;1097;2336.61;G
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;950;2033.00;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.14;214;457.96;Q
13/01/2023;CORPORACION FAVORITA C.A.;ACCIONES;1.00;2.13;1729;3682.77;Q
13/01/2023;BANCO BOLIVARIANO C.A.;ACCIONES;1.00;1.10;459;504.90;Q
13/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;140;133.00;Q
13/01/2023;BANCO DE LA PRODUCCION S.A . PRODUBANCO;ACCIONES;1.00;0.95;250;237.50;Q
