fecha;emisor;porcentaje_precio;valor_nominal_usd;valor_efectivo_usd;fecha_emision;fecha_vencimiento;porcentaje_rendimiento;procedencia;observaciones
12/01/2023;SURGALARE SA;95.4654;36471.93;34818.07;12/01/2023;11/07/2023;9.50;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
12/01/2023;PRODUCTORA CARTONERA S.A.;97.7756;20771.09;20309.06;12/01/2023;13/04/2023;9.00;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;IMPVET IMPORTADORA VETERINARIA CIA LTDA;98.4198;4912.50;4834.87;22/11/2022;22/03/2023;8.50;Q;ACEPTANTE: INCUBADORA ANDINA S.A. - RUC: 1890138507001                                                                                                
13/01/2023;PRODUCTORA CARTONERA S.A.;95.5795;36420.26;34810.28;13/01/2023;12/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;SURGALARE SA;95.5795;1569.40;1500.02;13/01/2023;12/07/2023;9.25;Q;ACEPTANTE: ABSORPELSA PAPELES ABSORVENTES S.A. - RUC: 1791353455001                                                                                   
13/01/2023;ECUADPREMEX SA;99.0644;52277.84;51788.72;23/12/2022;21/02/2023;8.50;Q;ACEPTANTE: ALIMENTOS BALANCEADOS AVIFORTE CIA LTDA - RUC: 1792133203001                                                                               
